Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Артимишина,Дарина,Францівна,Жіноча,1995-12-26,Хімік,селище Міусинськ,"узвіз Кастуся Калиновського, буд. 25 кв. 115, Саки, 51405",+380 06 215-95-81,bohuslava30@example.com
Цибуленко,Любов,Святославівна,Жіноча,1975-12-16,Штукатур,місто Черкаси,"набережна Травневий 4-й, буд. 7, Мерефа, 47476",883 24 72,oleksandr41@example.net
Корпанюк,Оксенія,Яремівна,Жіноча,1988-10-20,Хореограф,хутір Комарно,"набережна Партизанська, буд. 7, Краматорськ, 45639",024 132-68-92,pavlychenkosolomiia@example.org
Супруненко,Олена,Русланівна,Жіноча,1985-10-28,Правник,хутір Могилів-Подільський,"сквер Лінія 42-га, буд. 68, Тлумач, 10159",+380 13 297 72 29,orlykzynovii@example.com
Литвиненко,Софія,Данівна,Жіноча,1945-01-19,Штукатур,село Пологи,"площа Князя Володимира Великого , буд. 84, Камінь-Каширський, 98087",+380 (03) 245-50-77,iustym60@example.net
Базилевич,Ганна,Леонтіївна,Жіноча,1946-05-26,Акушер,місто Ровеньки,"вулиця Івана Микитенка, буд. 8 кв. 95, Чигирин, 51737",+380 (02) 543-76-18,andrii31@example.net
Атрощенко,Устим,Григорійович,Чоловіча,1968-12-13,Каскадер,село Благовіщенське,"парк Академічна, буд. 35 кв. 8, Апостолове, 59723",095 079 60 62,ivanenkoolena@example.org
Франко,Онисим,Ааронович,Чоловіча,1957-06-03,Гірничий інженер,хутір Іллінці,"вулиця Дністровська, буд. 28, Південне, 17703",022 326-90-55,arkadii22@example.org
Михалюк,Леонід,Миронович,Чоловіча,2007-06-23,Мистецтвознавець,селище Городок,"вулиця Лазурний 5-й, буд. 9, Долина, 90209",001 555-39-68,lizasirko@example.com
Гайворонська,Варвара,Іллівна,Жіноча,1986-06-10,Фрілансер,селище Сіверськодонецьк,"шосе Керченський 1-й, буд. 549, Берестечко, 42988",023 673-37-16,albina50@example.com
Батуринець,Надія,Орестівна,Жіноча,1982-07-11,Флорист,селище Таврійськ,"узвіз Володимира Терещенка, буд. 008 кв. 0, Шепетівка, 47848",+380 69 270 15 01,karmaliukillia@example.org
Кириленко,Пилип,Варфоломійович,Чоловіча,1992-10-11,Агроном,місто Вугледар,"вулиця Мазепи Івана, буд. 166 кв. 437, Васильків, 55863",+380 99 612-17-03,esych@example.net
Сомко,Георгій,Миколайович,Чоловіча,1964-05-07,Кінокритик,хутір Красилів,"шосе Ашгабатська, буд. 21, Мостиська, 93846",+380 98 867-82-34,chuprynabohodar@example.org
Шухевич,Вʼячеслав,Омелянович,Чоловіча,1985-01-15,Штукатур,селище Прип'ять,"площа Курортний, буд. 392, Надвірна, 23932",062 838-11-39,dubenkotaras@example.org
Таран,Роксолана,Мирославівна,Жіноча,1945-02-16,Публіцист,село Бучач,"набережна Бахмутська, буд. 6, Тлумач, 87312",+380 11 079-35-21,piddubnasemen@example.net
Вакарчук,Світлана,Васильівна,Жіноча,1956-02-19,Провізор,село Амвросіївка,"проспект Матюшенка, буд. 59, Татарбунари, 32162",202 60 28,havrylopoltavets@example.net
Даценко,Ярослава,Романівна,Жіноча,1946-01-21,Ветеринар,селище Зіньків,"сквер Сливовий, буд. 2, Камінь-Каширський, 84933",+380 96 565 13 16,lukianzarudna@example.net
Вобла,Єва,Тарасівна,Жіноча,1950-08-30,Геофізик,місто Переяслав,"сквер Іподромний, буд. 2 кв. 588, Буськ, 48327",+380 13 606-59-30,csachenko@example.org
Годунок,Станіслав,Петрович,Чоловіча,1947-12-15,Реставратор,місто Прилуки,"парк Вапняна, буд. 7, Снятин, 97020",+380 (95) 807-31-40,svitlanasych@example.com
Батюк,Леонтій,Артемович,Чоловіча,1974-07-08,Перекладач,село Бучач,"проспект Локальна, буд. 5 кв. 441, Звенигородка, 06553",001-73-41,bohdan82@example.com
Дуплій,Оксенія,Макарівна,Жіноча,2007-05-20,Промисловець,хутір Кобеляки,"вулиця Велика Садова, буд. 803, Олешки, 85358",862-25-66,kozachenkohavrylo@example.com
Кармалюк,Павло,Максимович,Чоловіча,1981-05-20,Громадський діяч,хутір Хрустальний,"площа Дорожня, буд. 613, Донецьк, 45713",785-29-77,trokhymiemets@example.org
Сагаль,Емілія,Миколаївна,Жіноча,1962-01-09,Єгер,місто Тальне,"площа 15-та ст. Великого Фонтану пляж, буд. 5, Ланівці, 71734",013-60-08,barannykarsen@example.org
Гавришкевич,Мілена,Устимівна,Жіноча,1963-09-05,Євнух,село Хирів,"набережна Овідіопольський, буд. 41, Одеса, 20398",272 47 33,martynromanchuk@example.net
Ващук,Веніямин,Станіславович,Чоловіча,1973-06-15,Адвокат,хутір Здолбунів,"набережна Деволанівський узвіз, буд. 61, Приморськ, 28203",591 62 63,volodymyr38@example.com
Гавришкевич,Амалія,Іллівна,Жіноча,1988-03-26,Кухар,місто Вінниця,"площа Сім'ї Глодан, буд. 7 кв. 675, Кальміуське, 33950",+380 (43) 381-71-71,olhashvedchenko@example.com
Шаповал,Йосип,Теодорович,Чоловіча,2007-07-23,Співак,хутір Путивль,"шосе Степана Олійника узвіз, буд. 4 кв. 645, Кальміуське, 22451",419-00-66,xasaula@example.com
Фартушняк,Лукʼян,Григорійович,Чоловіча,1957-10-10,Слідчий,хутір Городня,"провулок Заводська 5-та, буд. 41, Южне, 49834",+380 17 514-26-84,martashyian@example.org
Романець,Роксолана,Глібівна,Жіноча,1965-07-01,Кушнір,село Буськ,"площа Цегляна, буд. 871 кв. 4, Дубляни, 95384",771-31-75,hrytsenkofedir@example.net
Свириденко,Григорій,Петрович,Чоловіча,1994-09-20,Золотар,селище Чигирин,"набережна Прохоровський, буд. 9 кв. 767, Перевальськ, 05927",+380 (58) 619-44-01,amvrosiilavrenko@example.org
Архимович,Пилип,Ігнатович,Чоловіча,1964-03-15,Гицель,хутір Тульчин,"проспект Військовий узвіз, буд. 769 кв. 40, Рава-Руська, 25934",542-73-40,martyn41@example.net
Токар,Віолетта,Валеріївна,Жіноча,1945-03-24,Візажист,селище Соледар,"шосе Йозефа Прибіка, буд. 2, Зимогір'я, 22463",091 411-83-30,tetianaieshchenko@example.org
Венгринович,Оксана,Орхипівна,Жіноча,1980-10-23,Художник,село Барвінкове,"шосе Ясна, буд. 914, Хоростків, 06560",897-76-41,rdeineko@example.net
Скиба,Лілія,Арсенівна,Жіноча,1970-08-31,Графік,місто Ясинувата,"узвіз Якірний, буд. 230, Вараш, 64676",099 510-58-64,avelychko@example.com
Шеремет,Анжела,Микитівна,Жіноча,1976-06-08,Астронавт,хутір Інкерман,"проспект Депутатський, буд. 17, Кривий Ріг, 55661",+380 17 817-66-96,batiukalla@example.com
Худяк,Соломон,Аркадійович,Чоловіча,1973-04-11,Громадський діяч,хутір Сватове,"сквер Вишнева, буд. 208 кв. 3, Залізне, 28869",344 31 68,mykhailynavasylechko@example.com
Вакуленко,Теодор,Євгенійович,Чоловіча,1960-02-05,Письменник,хутір Устилуг,"узвіз Партизанська, буд. 3 кв. 85, Покров, 90553",+380 (37) 372-00-95,zasukhaoksana@example.com
Приходько,Орест,Зорянович,Чоловіча,2002-06-09,Біолог,хутір Євпаторія,"шосе 11-та Лінія Марії Демченко, буд. 6, Мелітополь, 12837",+380 22 235 48 46,symon36@example.org
Байрак,Кирило,Яремович,Чоловіча,1965-02-07,Скульптор,місто Судак,"узвіз Лузанівська, буд. 74, Перевальськ, 95462",+380 88 332-01-60,geretaanita@example.com
Корсун,Богдан,Геннадійович,Чоловіча,1984-03-15,Мірошник,місто Павлоград,"шосе Івана Микитенка, буд. 5 кв. 44, Решетилівка, 24508",070 188 35 99,korolenkoleontii@example.com
Арсенич,Лілія,Богодарівна,Жіноча,2007-10-16,Психолог,село Попасна,"парк Пересипська 3-тя, буд. 14 кв. 85, Ялта, 53994",+380 (62) 910-40-87,iustyna22@example.net
Шовкопляс,Артем,Іванович,Чоловіча,1951-05-05,Ювелір,місто Апостолове,"парк Скліфосовського, буд. 2, Хрустальний, 16761",958-49-32,unalyvaiko@example.net
Карпенко,Мілена,Йосипівна,Жіноча,1943-10-20,Професор,селище Тлумач,"провулок Гобеленова, буд. 182, Новоселиця, 81748",+380 89 244 12 24,viacheslav99@example.com
Шамрай,Маруся,Орхипівна,Жіноча,1949-08-14,Ювелір,місто Лисичанськ,"проспект Бузковий, буд. 73 кв. 960, Славута, 57955",+380 (52) 183-77-48,jshevchenko@example.com
Давимука,Василь,Дмитрович,Чоловіча,1957-03-08,Бібліотекар,селище Дрогобич,"площа Адміральський, буд. 64 кв. 8, Косів, 08874",134-09-33,hukarsen@example.org
Адаменко,Азар,Станіславович,Чоловіча,1948-10-23,Ювелір,хутір Вовчанськ,"парк Китобійна, буд. 1 кв. 29, Алупка, 71174",968 35 15,bohdandashenko@example.net
Стус,Альбіна,Кирилівна,Жіноча,1980-10-27,Акушер,село П'ятихатки,"узвіз Олега Андрійця, буд. 7, Дунаївці, 89308",540 97 30,iaroslavchalenko@example.net
Деряжна,Альбіна,Аркадіївна,Жіноча,1940-12-10,Ботанік,село Ужгород,"шосе 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 472 кв. 301, Новогродівка, 82003",+380 59 681-20-94,dzyndradavyd@example.net
Гук,Хома,Семенович,Чоловіча,1972-06-04,Медик,село Вугледар,"площа Ганса Германа, буд. 195, Виноградів, 50386",+380 95 228-91-62,tvovk@example.org
Міщенко,Олександр,Владиславович,Чоловіча,1992-10-25,Літературознавець,селище Вишневе,"узвіз Заводська 2-га, буд. 7, Тетіїв, 08489",+380 (04) 833-07-43,martyn43@example.org
Височан,Альбіна,Микитівна,Жіноча,1978-01-08,Правник,селище Черкаси,"парк Центральний аеропорт, буд. 01, Ромни, 03223",047 924 00 72,viteroleh@example.org
Шовкопляс,Одарка,Святославівна,Жіноча,1942-01-22,Математик,хутір Бахмут,"сквер Кременецький, буд. 21, Миргород, 67095",+380 10 213-74-07,panaspiddubna@example.com
Шамрай,Віолетта,Ігорівна,Жіноча,1939-10-10,Гінеколог,село Саки,"парк Обсерваторний, буд. 33 кв. 14, Алмазна, 17415",+380 43 558 71 90,iustymriabets@example.com
Забарний,Хома,Тимофійович,Чоловіча,1949-03-14,Кухар,місто Кам'янець-Подільський,"провулок Стрийський, буд. 53 кв. 74, Мар'їнка, 97390",+380 69 468-14-15,riakovenko@example.com
Запорожець,Богдан,Євгенійович,Чоловіча,1985-01-01,Слідчий,село Ізяслав,"площа Іони Отаманського, буд. 240 кв. 1, Пирятин, 48665",349-01-57,cshvachka@example.net
Вдовенко,Гаврило,Аркадійович,Чоловіча,1967-01-29,Астрофізик,селище Привілля,"площа Асташкіна, буд. 9 кв. 23, Тлумач, 17486",+380 50 576-88-43,msachenko@example.com
Матвієнко,Олена,Лукʼянівна,Жіноча,1990-03-09,Адвокат,селище Рудки,"парк Слов'янська, буд. 028, Берестечко, 34842",008 870 03 00,edytaaleksiichuk@example.com
Дутка,Зорян,Демʼянович,Чоловіча,1942-07-29,Зоолог,село Черкаси,"набережна Михайла Божія, буд. 425, Кам'янка (Черкаська область), 21082",141 43 32,barannykoryna@example.net
Дутка,Костянтин,Георгійович,Чоловіча,1973-05-29,Ді-джей,село Тисмениця,"площа Виноградний, буд. 36, Володимир-Волинський, 27039",+380 (69) 477-40-99,udovenkoiaroslava@example.net
Голик,Борислав,Алевтинович,Чоловіча,1966-01-10,Стропальник,село Івано-Франківськ,"узвіз Ф. Пішеніна, буд. 9, Прилуки, 53222",+380 28 518 27 50,erika45@example.org
Вишиваний,Ярема,Богуславович,Чоловіча,1977-03-29,Сантехнік,місто Краматорськ,"сквер Китобійний 2-й, буд. 322 кв. 54, Турка, 35699",059 441-68-97,antoniesypenko@example.net
Бабариченко,Олена,Георгіївна,Жіноча,1954-09-23,Кухар,місто Вовчанськ,"набережна Сєрогодського, буд. 9, Середина-Буда, 31796",492 37 21,bohuslavakarpa@example.com
Яремків,Веніямин,Миронович,Чоловіча,1991-02-13,Правник,селище Кам'янка-Бузька,"провулок Львівський, буд. 318 кв. 897, Хрустальний, 39199",703-83-27,leontiiarkhypenko@example.com
Нестеренко,Аарон,Теодорович,Чоловіча,1979-03-10,Провізор,село Коростень,"парк Ольгіївська, буд. 999 кв. 475, Носівка, 99680",951 90 99,turkalonataliia@example.com
Бабак,Давид,Опанасович,Чоловіча,1946-09-27,Шериф,хутір Рахів,"сквер Володі Дубініна, буд. 51, Нове Давидково, 60438",237 64 93,babakalina@example.org
Вакарчук,Василина,Панасівна,Жіноча,1970-06-20,Правник,село Ірпінь,"парк Томатна, буд. 75, Герца, 38331",054-51-17,suprunenkomarko@example.org
Рябовіл,Сніжана,Богодарівна,Жіноча,1945-04-17,Філолог,хутір Сновськ,"площа Килимова, буд. 3, Арциз, 92369",+380 93 808 31 32,havrylozatula@example.net
Ґерус,Данило,Ааронович,Чоловіча,1998-11-26,Медик,хутір Виноградів,"площа Хвиляста, буд. 220, Ладижин, 57468",618 53 03,artemhaidabura@example.net
Деряжний,Леопольд,Єлисейович,Чоловіча,2008-04-29,Актор,хутір Дніпро,"шосе Іспанський, буд. 73 кв. 7, Сколе, 57094",+380 70 585-54-29,karasnadiia@example.com
Гаврилець,Богодар,Віталійович,Чоловіча,1972-09-12,Провізор,селище Харків,"провулок Свободи, буд. 019, Косів, 36373",079 463-64-86,covcharenko@example.org
Бездітко,Гаврило,Симонович,Чоловіча,1989-01-02,Фермер,село Кролевець,"проспект Амбулаторна, буд. 1, Глобине, 92867",585-58-32,kbalaban@example.com
Лупій,Амвросій,Пантелеймонович,Чоловіча,1991-04-28,Історик,селище Охтирка,"сквер Совіньйонівський, буд. 625, Кривий Ріг, 82387",030 107-26-99,hlibgerega@example.net
Талан,Марко,Георгійович,Чоловіча,1980-11-19,Слідчий,місто Славута,"шосе Амундсена, 2-й, буд. 4, Виноградів, 37917",+380 03 235-45-52,mykyta32@example.com
Журба,Єфрем,Гаврилович,Чоловіча,2001-09-19,Паралегал,село Боково-Хрустальне,"площа Рибальська балка, буд. 3 кв. 352, Горлівка, 35159",+380 65 994 06 98,myroslavzakharenko@example.com
Черненко,Ярема,Дмитрович,Чоловіча,1966-07-14,Секретар,хутір Новоукраїнка,"сквер Рєпіна, буд. 444, Українськ, 87402",+380 80 798 93 42,bohdannamiroshnychenko@example.net
Титаренко,Ярема,Григорійович,Чоловіча,1975-03-20,Провізор,село Вишгород,"площа Олексія Косяченко, буд. 6, Хутір-Михайлівський, 76480",+380 71 379-69-06,vadymzakharchenko@example.net
Зайченко,Василина,Ааронівна,Жіноча,1970-03-07,Мистецтвознавець,село Заставна,"шосе Лютнева, буд. 62 кв. 6, Скалат, 70120",063 708 83 71,demyd15@example.com
Стельмах,Мартин,Адамович,Чоловіча,1964-01-29,Психолог,хутір Подільськ,"площа 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 078 кв. 41, Чортків, 16996",042 997 36 05,nazarhohol@example.org
Оліфіренко,Орина,Соломонівна,Жіноча,1984-05-03,Фольклорист,село Носівка,"узвіз Старосінна, буд. 9, Отаманівка, 73448",+380 09 687-63-63,rdeisun@example.org
Рак,Гордій,Панасович,Чоловіча,1973-02-20,Зоолог,село Святогірськ,"сквер Лузанівська, буд. 00 кв. 10, Кагарлик, 47091",+380 82 697-30-90,demianenkoopanas@example.org
Данчук,Прохір,Зиновійович,Чоловіча,1976-04-18,Водій,село Чуднів,"парк Володимира Терещенка, буд. 749, Красногорівка, 27562",+380 (55) 124-46-27,hlib65@example.net
Охріменко,Василина,Германівна,Жіноча,1984-01-23,Палеонтолог,місто Жмеринка,"провулок Аркадійська, буд. 406, Жданівка, 63888",080 419 81 86,iaroslavaaverchenko@example.com
Романенко,Віктор,Богуславович,Чоловіча,1980-08-10,Швачка,село Ізюм,"проспект Олександра Ройтбурда, буд. 84 кв. 166, Бершадь, 53960",015 750-19-55,myron27@example.org
Удовиченко,Єфрем,Тимофійович,Чоловіча,1954-01-18,Етнограф,село Голубівка,"площа Остапа Вишні, буд. 228 кв. 6, Вашківці, 80019",030 870 07 18,leonidchmil@example.org
Черненко,Демид,Борисович,Чоловіча,1986-05-18,Реабілітолог,село Винники,"набережна Василя Кандинського 5-й, буд. 2, Ізюм, 31701",+380 (98) 470-90-73,liudmyla73@example.com
Єсипенко,Омелян,Борисович,Чоловіча,1947-09-30,Акушер,місто Рубіжне,"проспект Незамаївська, буд. 8 кв. 22, Вовчанськ, 06423",+380 31 469-72-97,uiakymchuk@example.com
Вдовиченко,Ганна,Аврелійовна,Жіноча,1952-06-27,Палеонтолог,місто Львів,"узвіз Ольгіївська, буд. 33 кв. 3, Шахтарське, 22267",299-09-33,danylozinchenko@example.net
Андрієвич,Владислав,Теодорович,Чоловіча,1976-06-16,Інженер,місто Київ,"узвіз Сонячна, буд. 4 кв. 842, Носівка, 02371",285 27 23,viktoropanasenko@example.net
Чорновіл,Аніта,Венедиктівна,Жіноча,1962-09-12,Модельєр,хутір Костянтинівка,"сквер Заводська 5-та, буд. 57 кв. 952, Камінь-Каширський, 21411",004 381-36-03,vladyslavvermenych@example.net
Макаренко,Богдан,Варфоломійович,Чоловіча,1952-07-23,Менеджер,місто Ужгород,"вулиця Мусіна, буд. 31 кв. 9, Лозова, 67348",+380 57 367 19 12,pavloshvaika@example.net
Ґерус,Адам,Сергійович,Чоловіча,2008-11-22,Актор,місто Верхньодніпровськ,"проспект Бахмутська, буд. 832 кв. 99, Бібрка, 95738",+380 83 064-20-81,qtryhub@example.net
Теличенко,Валентина,Станіславівна,Жіноча,1997-11-25,Письменник,село Сарни,"сквер Буковецького, буд. 81 кв. 349, Радехів, 53002",030 605 41 39,ihor76@example.com
Петлюра,Борислав,Устимович,Чоловіча,1969-11-09,Епідеміолог,село Рогатин,"парк Чорноморський 8-й, буд. 99 кв. 8, Миргород, 71337",282 22 82,arsen56@example.net
Михайличенко,Валентина,Назарівна,Жіноча,2003-09-30,Ді-джей,селище Соледар,"вулиця Журавлина, буд. 0, Чернігів, 57816",+380 19 253-30-46,kchaban@example.com
Бабко,Данна,Спасівна,Жіноча,1950-10-19,Клавішник,хутір Немирів,"шосе Краснова, буд. 98 кв. 0, Чоп, 52278",+380 (77) 200-03-40,vyshniakemiliia@example.org
Іщак,Аніта,Лукʼянівна,Жіноча,1957-02-09,Антрополог,хутір Миронівка,"набережна Артезіанська, буд. 0, Носівка, 01479",057 851-49-42,martyngerega@example.org
Товстоліс,Леонід,Валерійович,Чоловіча,1982-10-21,Єгер,село Амвросіївка,"сквер Семінарська, буд. 1 кв. 8, Лиман, 70132",+380 54 985-57-54,iaroslavavlokh@example.net
Комар,Анжела,Семенівна,Жіноча,1990-02-25,Фрілансер,хутір Красилів,"узвіз 6-та Лінія Марії Демченко, буд. 11, Берестин, 53375",202 12 65,illiahaidamaka@example.net
Макаренко,Михайло,Святославович,Чоловіча,1983-10-26,Шериф,село Яремче,"вулиця Петра Калнишевського, буд. 53, Авдіївка, 13487",021 261 28 27,danylo44@example.org
Ажажа,Олекса,Аврелійович,Чоловіча,1950-12-26,Візажист,село Привілля,"узвіз Лиманний, буд. 5 кв. 689, Винники, 51505",+380 (64) 538-20-38,opanasenkoolha@example.com
Карпенко,Вікторія,Святославівна,Жіноча,1984-08-02,Редактор,місто Острог,"сквер Супутників, буд. 008, Красногорівка, 52402",070 896 52 04,oleksa34@example.net
Москаль,Орхип,Тарасович,Чоловіча,1974-11-18,Детектив,хутір Білопілля,"площа Миколи Бажана, буд. 9 кв. 834, Козятин, 20390",+380 24 766-93-13,ustym15@example.net
Стець,Макар,Гордійович,Чоловіча,1985-01-16,Бібліотекар,село Сніжне,"сквер Мелітопольська, буд. 84, Корець, 76505",774 19 94,landriichuk@example.org
Вдовиченко,Орися,Алевтинівна,Жіноча,2000-06-02,Державний службовець,село Сквира,"проспект Грецька, буд. 531 кв. 56, Тростянець, 45440",+380 (25) 630-63-14,saienkooksana@example.net
Кабалюк,Олександр,Яковович,Чоловіча,2000-06-11,Епідеміолог,місто Київ,"провулок Бокаріуса, буд. 77 кв. 9, Самбір, 57200",043 703 78 43,olha41@example.org
Аронець,Мирон,Васильович,Чоловіча,2004-04-18,Науковець,селище Нове Давидково,"вулиця Єфімова, буд. 314, Обухів, 86223",005 472 48 99,ldurdynets@example.com
Франчук,Вікторія,Пилипівна,Жіноча,1943-10-28,Хореограф,село Багачеве,"вулиця Стрийський, буд. 77, Кременчук, 34075",080 382-58-33,venhrynovychmarko@example.net
Іщак,Віолетта,Яремівна,Жіноча,1975-11-01,Скульптор,хутір Миколаївка,"провулок Лиманний, буд. 766 кв. 0, Дубно, 35870",532-62-57,symon29@example.org
Вахній,Христина,Богданівна,Жіноча,1942-07-10,Редактор,селище Узин,"вулиця Адольфа Лози, буд. 5 кв. 11, Рогатин, 82214",132-32-79,shvachkastepan@example.net
Кармалюк,Панас,Дмитрович,Чоловіча,1975-11-18,Диригент,хутір Полонне,"набережна Прилуцький, буд. 020, Буськ, 08698",+380 62 221-45-52,roman49@example.net
Твердохліб,Геннадій,Костянтинович,Чоловіча,1959-04-03,Електромонтажник,село Вилкове,"набережна Леоніда Осики, буд. 08, Українка, 08787",+380 (39) 371-08-55,orestvatamaniuk@example.net
Гуцуляк,Борислав,Володимирович,Чоловіча,1989-12-27,Секретар,місто Рудки,"площа Вірського, буд. 43 кв. 814, Березівка, 28279",058 289-22-85,valeriitereshchuk@example.org
Франчук,Віолетта,Дмитріївна,Жіноча,1990-09-11,Геофізик,хутір Турка,"вулиця 40-річчя оборони Одеси, буд. 50, Хутір-Михайлівський, 48019",+380 07 092-67-36,maksymhavriushenko@example.org
Ляшко,Степан,Семенович,Чоловіча,1974-06-07,Філолог,хутір Добропілля,"узвіз Лазурний 5-й, буд. 1 кв. 0, Лисичанськ, 29348",084 834-07-68,dutkaokseniia@example.org
Ніколюк,Роксолана,Пантелеймонівна,Жіноча,1943-01-06,Драматург,селище Сколе,"площа Дукова, буд. 28 кв. 566, Верхньодніпровськ, 30708",048 835 61 29,zinchenkopylyp@example.com
Ґалаґан,Алевтин,Єлисейович,Чоловіча,1976-06-06,Сценарист,місто Золочів,"шосе Соціальна, буд. 63 кв. 68, Вишгород, 95941",+380 19 803-61-00,feofanzhuk@example.net
Гоголь-Яновська,Вікторія,Спасівна,Жіноча,2000-01-18,Педагог,хутір Зугрес,"проспект Кутова, буд. 5, Деражня, 54399",072 838 42 14,tivashchenko@example.net
Михалюк,Азар,Варфоломійович,Чоловіча,1995-07-02,Клавішник,село Новогродівка,"узвіз Пересипський 2-й, буд. 830 кв. 6, Ізюм, 19615",036 616 97 58,hshelest@example.org
Цюпа,Соломон,Гордійович,Чоловіча,1977-03-21,Патологоанатом,місто Теребовля,"набережна Академіка Корольова, буд. 681, Бунге, 45037",050 949-73-45,mykolai74@example.org
Жайворон,Давид,Ярославович,Чоловіча,2000-12-20,Піаніст,селище Скадовськ,"шосе Ламаний, буд. 21 кв. 27, Богуслав, 38093",+380 79 428 75 29,mykhailo26@example.org
Вовк,Соломон,Олегович,Чоловіча,1990-07-18,Драматург,місто Кам'янка-Дніпровська,"провулок Лазурний 4-й, буд. 8, Борислав, 02557",+380 (59) 063-27-26,rakmariia@example.org
Сімашкевич,Марта,Валеріївна,Жіноча,1955-01-14,Локсмайстер,селище Заліщики,"шосе Миколи Троїцького, буд. 6 кв. 21, Монастирище, 45896",+380 59 764 40 28,liliiashelest@example.com
Запорожець,Вʼячеслав,Пантелеймонович,Чоловіча,1980-01-27,Пілот,селище Зимогір'я,"парк Кримська, буд. 990 кв. 70, Монастириська, 26306",+380 15 090 11 42,xkomar@example.org
Конопля,Мілена,Трохимівна,Жіноча,1952-08-17,Акушер,село Жидачів,"узвіз Оранжерейний, буд. 5 кв. 4, Новояворівськ, 41089",+380 10 252-57-08,petro34@example.com
Харченко,Амалія,Францівна,Жіноча,2007-02-28,Електромонтер,хутір Білогірськ,"сквер Кодимський, буд. 2, Ходорів, 47419",+380 18 150 32 32,liudmyla89@example.org
Корбут,Вʼячеслав,Русланович,Чоловіча,1950-08-27,Художник,селище Тростянець,"парк Павла Чубинського, буд. 1 кв. 31, Жовква, 76486",329 69 40,trokhymkarpa@example.net
Колесниченко,Остап,Сергійович,Чоловіча,1954-11-21,Фізик,місто Донецьк,"набережна Львівська, буд. 94, Дніпро, 70074",+380 (45) 466-52-91,violetta54@example.com
Дробʼязко,Соломія,Іванівна,Жіноча,1964-10-14,Єгер,село Світлодарськ,"вулиця Лінійна, буд. 938, Мена, 24844",011 506 63 05,zaporozhetsviktor@example.com
Москаль,Наталія,Яремівна,Жіноча,1965-04-16,Реабілітолог,місто Курахове,"парк 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 77 кв. 835, Світловодськ, 89543",907-47-46,snizhana25@example.com
Голобородько,Августин,Геннадійович,Чоловіча,1958-09-11,М'ясник,хутір Авдіївка,"площа Весела, буд. 522, Заставна, 62684",086 643-83-13,olesyk@example.org
Остапчук,Альберт,Демидович,Чоловіча,1987-12-06,Електрик,місто Дубляни,"провулок Літературна, буд. 8 кв. 33, Почаїв, 99218",075 759 44 08,havryliukarkadii@example.org
Данильчук,Миколай,Геннадійович,Чоловіча,1987-11-23,Дантист,селище Антрацит,"сквер Стрийський, буд. 510, Галич, 62618",338 59 04,edeineko@example.com
Назаренко,Тарас,Теодорович,Чоловіча,1955-10-05,Музикант,місто Берестечко,"набережна Обривиста, буд. 136 кв. 56, Іршава, 01307",303 81 94,vasyl30@example.net
Рябець,Ярема,Бориславович,Чоловіча,1962-03-30,Модель,село Оріхів,"площа Волокидіна, буд. 31 кв. 5, Глиняни, 10153",+380 51 902 76 89,gpelekh@example.net
Василевич,Володимира,Антонівна,Жіноча,1995-04-26,Фермер,село Миколаїв,"парк Краснослобідський, буд. 322 кв. 73, Докучаєвськ, 60866",956 91 75,dhaidenko@example.net
Щербань,Стефан,Миронович,Чоловіча,1966-01-03,Педагог,місто Шепетівка,"площа Солонцюватий 1-й, буд. 250, Миколаїв, 16191",+380 (86) 001-89-57,jzhuk@example.org
Єрмоленко,Максим,Зорянович,Чоловіча,2001-07-09,Сантехнік,селище Чугуїв,"набережна М’ясоєдовська, буд. 161 кв. 74, Рожище, 58993",+380 07 070 87 87,tarasenkomaryna@example.com
Гоголь,Орися,Аркадіївна,Жіноча,1996-04-17,Льотчик,місто Березівка,"узвіз Аеродромний 2-й, буд. 883 кв. 364, Бердянськ, 74995",061 666 42 39,makar69@example.net
Ґерус,Максим,Орхипович,Чоловіча,1986-04-28,Стиліст,село Подільськ,"парк Садовського, буд. 905, Петрово-Красносілля, 68329",061 040-78-57,boleslavonyshchenko@example.com
Василашко,Надія,Опанасівна,Жіноча,1953-02-02,Каскадер,місто Надвірна,"набережна Романтичний, буд. 450, Заставна, 71635",044 668-58-23,iaroshiakiv@example.org
Зінчук,Іван,Артемович,Чоловіча,1965-07-25,Археолог,хутір Славутич,"провулок Геологічна, буд. 722 кв. 9, Одеса, 96787",+380 23 313 58 86,wskorobohatko@example.net
Затовканюк,Маруся,Августинівна,Жіноча,1987-10-31,Паралегал,хутір Кривий Ріг,"проспект Кедровий, буд. 6, Дубровиця, 43914",070-87-19,azhuchenko@example.org
Зінчук,Софія,Азарівна,Жіноча,1976-10-24,Графік,село Овруч,"набережна Естафетна, буд. 539, Білицьке, 99293",+380 81 088-65-40,fsirko@example.org
Гуцуляк,Климент,Аврелійович,Чоловіча,1950-06-06,Антрополог,місто Ніжин,"узвіз Черешнева, буд. 28 кв. 00, Немирів, 59881",640 69 22,bnosenko@example.org
